,Disease,Year,Month,Count
32,Cyclosporiasis,2016,Jan.,1
33,"Dengue virus infections, Dengue",2016,Jan.,155
34,"Dengue virus infections, Dengue-like illness",2016,Jan.,5
35,"Dengue virus infections, Severe dengue",2016,Jan.,1
36,Diphtheria,2016,Jan.,0
37,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Jan.,25
38,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Jan.,10
39,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Jan.,0
40,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Jan.,1
41,Giardiasis,2016,Jan.,980
42,Gonorrhea,2016,Jan.,"33,173"
43,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Jan.,481
44,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Jan.,4
45,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Jan.,10
46,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Jan.,23
47,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Jan.,17
48,Hansen's disease,2016,Jan.,10
49,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Jan.,0
50,Hantavirus pulmonary syndrome,2016,Jan.,3
51,Hemolytic uremic syndrome post-diarrheal,2016,Jan.,14
52,"Hepatitis, A, acute",2016,Jan.,110
53,"Hepatitis, B, acute",2016,Jan.,212
54,"Hepatitis, B, perinatal infection",2016,Jan.,1
55,"Hepatitis, C, acute",2016,Jan.,256
56,Human immunodeficiency virus diagnoses,2016,Jan.,"3,303"
57,Influenza-associated pediatric mortality,2016,Jan.,2
58,"Invasive pneumococcal disease, All ages",2016,Jan.,"1,669"
59,"Invasive pneumococcal disease, All ages, Confirmed",2016,Jan.,"1,667"
60,"Invasive pneumococcal disease, All ages, Probable",2016,Jan.,2
61,"Invasive pneumococcal disease, Age <5 years",2016,Jan.,83
62,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Jan.,83
63,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Jan.,0
64,Legionellosis,2016,Jan.,275
65,Leptospirosis,2016,Jan.,4
66,Listeriosis,2016,Jan.,32
67,"Lyme disease, Total",2016,Jan.,881
68,"Lyme disease, Confirmed",2016,Jan.,592
69,"Lyme disease, Probable",2016,Jan.,289
70,Malaria,2016,Jan.,87
71,"Measles, Total",2016,Jan.,2
72,"Measles, Indigenous",2016,Jan.,0
73,"Measles, Imported",2016,Jan.,2
74,"Meningococcal disease, All serogroups",2016,Jan.,29
75,"Meningococcal disease, Serogroups ACWY",2016,Jan.,9
76,"Meningococcal disease, Serogroup B",2016,Jan.,7
77,"Meningococcal disease, Other serogroups",2016,Jan.,2
78,"Meningococcal disease, Unknown serogroup",2016,Jan.,11
79,Mumps,2016,Jan.,202
80,Novel Influenza A virus infections,2016,Jan.,0
81,Pertussis,2016,Jan.,"1,272"
82,Plague,2016,Jan.,0
83,"Poliomyelitis, paralytic",2016,Jan.,0
84,"Poliovirus infection, nonparalytic",2016,Jan.,0
85,Psittacosis,2016,Jan.,0
86,"Q fever, Total",2016,Jan.,3
87,"Q fever, Acute",2016,Jan.,3
88,"Q fever, Chronic",2016,Jan.,0
89,"Rabies, Animal",2016,Jan.,233
90,"Rabies, Human",2016,Jan.,0
91,Rubella,2016,Jan.,1
92,"Rubella, congenital syndrome",2016,Jan.,0
93,Salmonellosis,2016,Jan.,"2,415"
94,Severe acute respiratory syndrome-associated coronavirus disease,2016,Jan.,0
95,Shiga toxin-producing Escherichia coli,2016,Jan.,329
96,Shigellosis,2016,Jan.,"1,699"
97,Smallpox,2016,Jan.,0
98,"Spotted fever rickettsiosis, Total",2016,Jan.,30
99,"Spotted fever rickettsiosis, Confirmed",2016,Jan.,4
100,"Spotted fever rickettsiosis, Probable",2016,Jan.,26
101,Streptococcal toxic shock syndrome,2016,Jan.,27
102,"Syphilis, Total, all stages",2016,Jan.,"6,490"
103,"Syphilis, Congenital",2016,Jan.,52
104,"Syphilis, Primary and secondary",2016,Jan.,"2,027"
105,Tetanus,2016,Jan.,1
106,Toxic shock syndrome (other than Streptococcal),2016,Jan.,2
107,Trichinellosis,2016,Jan.,0
108,Tuberculosis,2016,Jan.,478
109,Tularemia,2016,Jan.,1
110,Typhoid fever,2016,Jan.,32
111,Vancomycin-intermediate Staphylococcus aureus,2016,Jan.,10
112,Vancomycin-resistant Staphylococcus aureus,2016,Jan.,0
113,Varicella morbidity,2016,Jan.,781
114,Varicella mortality,2016,Jan.,0
115,"Vibriosis, Total",2016,Jan.,48
116,"Vibriosis, Confirmed",2016,Jan.,48
117,"Vibriosis, Probable",2016,Jan.,0
118,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Jan.,0
119,"Viral hemorrhagic fevers, Ebola virus",2016,Jan.,0
120,"Viral hemorrhagic fevers, Guanarito virus",2016,Jan.,0
121,"Viral hemorrhagic fevers, Junin virus",2016,Jan.,0
122,"Viral hemorrhagic fevers, Lassa virus",2016,Jan.,0
123,"Viral hemorrhagic fevers, Lujo virus",2016,Jan.,0
124,"Viral hemorrhagic fevers, Machupo virus",2016,Jan.,0
125,"Viral hemorrhagic fevers, Marburg virus",2016,Jan.,0
126,"Viral hemorrhagic fevers, Sabia virus",2016,Jan.,0
127,Yellow fever,2016,Jan.,0
128,"Zika virus, Zika virus disease, congenital",2016,Jan.,0
129,"Zika virus, Zika virus disease, non-congenital",2016,Jan.,139
130,"Zika virus, Zika virus infection, congenital",2016,Jan.,0
131,"Zika virus, Zika virus infection, non-congenital",2016,Jan.,5
132,Anthrax,2016,Feb.,0
133,"Arboviral diseases, Chikungunya virus disease",2016,Feb.,27
134,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Feb.,0
135,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Feb.,0
136,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Feb.,0
137,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Feb.,0
138,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Feb.,0
139,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Feb.,0
140,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Feb.,0
141,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Feb.,0
142,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Feb.,0
143,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Feb.,0
144,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Feb.,0
145,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Feb.,0
146,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Feb.,0
147,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Feb.,0
148,"Babesiosis, Total",2016,Feb.,9
149,"Babesiosis, Confirmed",2016,Feb.,8
150,"Babesiosis, Probable",2016,Feb.,1
151,"Botulism, Total",2016,Feb.,9
152,"Botulism, Foodborne",2016,Feb.,1
153,"Botulism, Infant",2016,Feb.,6
154,"Botulism, Other (wound & unspecified)",2016,Feb.,2
155,Brucellosis,2016,Feb.,6
156,Campylobacteriosis,2016,Feb.,"3,104"
157,Chancroid,2016,Feb.,1
158,Chlamydia trachomatis infection,2016,Feb.,"124,918"
159,Cholera,2016,Feb.,1
160,Coccidioidomycosis,2016,Feb.,741
161,"Cryptosporidiosis, Total",2016,Feb.,551
162,"Cryptosporidiosis, Confirmed",2016,Feb.,302
163,"Cryptosporidiosis, Probable",2016,Feb.,249
164,Cyclosporiasis,2016,Feb.,4
165,"Dengue virus infections, Dengue",2016,Feb.,63
166,"Dengue virus infections, Dengue-like illness",2016,Feb.,3
167,"Dengue virus infections, Severe dengue",2016,Feb.,0
168,Diphtheria,2016,Feb.,0
169,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Feb.,14
170,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Feb.,7
171,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Feb.,0
172,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Feb.,1
173,Giardiasis,2016,Feb.,"1,034"
174,Gonorrhea,2016,Feb.,"32,955"
175,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Feb.,383
176,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Feb.,0
177,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Feb.,11
178,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Feb.,25
179,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Feb.,15
180,Hansen's disease,2016,Feb.,8
181,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Feb.,0
182,Hantavirus pulmonary syndrome,2016,Feb.,1
183,Hemolytic uremic syndrome post-diarrheal,2016,Feb.,8
184,"Hepatitis, A, acute",2016,Feb.,123
185,"Hepatitis, B, acute",2016,Feb.,244
186,"Hepatitis, B, perinatal infection",2016,Feb.,2
187,"Hepatitis, C, acute",2016,Feb.,248
188,Human immunodeficiency virus diagnoses,2016,Feb.,"3,307"
189,Influenza-associated pediatric mortality,2016,Feb.,9
190,"Invasive pneumococcal disease, All ages",2016,Feb.,"1,808"
191,"Invasive pneumococcal disease, All ages, Confirmed",2016,Feb.,"1,806"
192,"Invasive pneumococcal disease, All ages, Probable",2016,Feb.,2
193,"Invasive pneumococcal disease, Age <5 years",2016,Feb.,126
194,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Feb.,126
195,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Feb.,0
196,Legionellosis,2016,Feb.,230
197,Leptospirosis,2016,Feb.,0
198,Listeriosis,2016,Feb.,39
199,"Lyme disease, Total",2016,Feb.,837
200,"Lyme disease, Confirmed",2016,Feb.,568
201,"Lyme disease, Probable",2016,Feb.,269
202,Malaria,2016,Feb.,85
203,"Measles, Total",2016,Feb.,0
204,"Measles, Indigenous",2016,Feb.,0
205,"Measles, Imported",2016,Feb.,0
206,"Meningococcal disease, All serogroups",2016,Feb.,29
207,"Meningococcal disease, Serogroups ACWY",2016,Feb.,8
208,"Meningococcal disease, Serogroup B",2016,Feb.,8
209,"Meningococcal disease, Other serogroups",2016,Feb.,1
210,"Meningococcal disease, Unknown serogroup",2016,Feb.,12
211,Mumps,2016,Feb.,266
212,Novel Influenza A virus infections,2016,Feb.,0
213,Pertussis,2016,Feb.,"1,232"
214,Plague,2016,Feb.,0
215,"Poliomyelitis, paralytic",2016,Feb.,0
216,"Poliovirus infection, nonparalytic",2016,Feb.,0
217,Psittacosis,2016,Feb.,1
218,"Q fever, Total",2016,Feb.,7
219,"Q fever, Acute",2016,Feb.,7
220,"Q fever, Chronic",2016,Feb.,0
221,"Rabies, Animal",2016,Feb.,315
222,"Rabies, Human",2016,Feb.,0
223,Rubella,2016,Feb.,0
224,"Rubella, congenital syndrome",2016,Feb.,0
225,Salmonellosis,2016,Feb.,"2,077"
226,Severe acute respiratory syndrome-associated coronavirus disease,2016,Feb.,0
227,Shiga toxin-producing Escherichia coli,2016,Feb.,271
228,Shigellosis,2016,Feb.,"1,640"
229,Smallpox,2016,Feb.,0
230,"Spotted fever rickettsiosis, Total",2016,Feb.,47
231,"Spotted fever rickettsiosis, Confirmed",2016,Feb.,2
232,"Spotted fever rickettsiosis, Probable",2016,Feb.,45
233,Streptococcal toxic shock syndrome,2016,Feb.,37
234,"Syphilis, Total, all stages",2016,Feb.,"6,907"
235,"Syphilis, Congenital",2016,Feb.,55
236,"Syphilis, Primary and secondary",2016,Feb.,"2,124"
237,Tetanus,2016,Feb.,1
238,Toxic shock syndrome (other than Streptococcal),2016,Feb.,5
239,Trichinellosis,2016,Feb.,0
240,Tuberculosis,2016,Feb.,642
241,Tularemia,2016,Feb.,5
242,Typhoid fever,2016,Feb.,22
243,Vancomycin-intermediate Staphylococcus aureus,2016,Feb.,13
244,Vancomycin-resistant Staphylococcus aureus,2016,Feb.,0
245,Varicella morbidity,2016,Feb.,738
246,Varicella mortality,2016,Feb.,0
247,"Vibriosis, Total",2016,Feb.,29
248,"Vibriosis, Confirmed",2016,Feb.,25
249,"Vibriosis, Probable",2016,Feb.,4
250,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Feb.,0
251,"Viral hemorrhagic fevers, Ebola virus",2016,Feb.,0
252,"Viral hemorrhagic fevers, Guanarito virus",2016,Feb.,0
253,"Viral hemorrhagic fevers, Junin virus",2016,Feb.,0
254,"Viral hemorrhagic fevers, Lassa virus",2016,Feb.,0
255,"Viral hemorrhagic fevers, Lujo virus",2016,Feb.,0
256,"Viral hemorrhagic fevers, Machupo virus",2016,Feb.,0
257,"Viral hemorrhagic fevers, Marburg virus",2016,Feb.,0
258,"Viral hemorrhagic fevers, Sabia virus",2016,Feb.,0
259,Yellow fever,2016,Feb.,0
260,"Zika virus, Zika virus disease, congenital",2016,Feb.,0
261,"Zika virus, Zika virus disease, non-congenital",2016,Feb.,180
262,"Zika virus, Zika virus infection, congenital",2016,Feb.,0
263,"Zika virus, Zika virus infection, non-congenital",2016,Feb.,25
264,Anthrax,2016,Mar.,0
265,"Arboviral diseases, Chikungunya virus disease",2016,Mar.,11
266,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Mar.,0
267,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Mar.,0
268,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Mar.,0
269,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Mar.,0
270,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Mar.,0
271,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Mar.,0
272,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Mar.,0
273,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Mar.,0
274,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Mar.,0
275,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Mar.,0
276,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Mar.,0
277,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Mar.,0
278,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Mar.,0
279,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Mar.,0
280,"Babesiosis, Total",2016,Mar.,8
281,"Babesiosis, Confirmed",2016,Mar.,4
282,"Babesiosis, Probable",2016,Mar.,4
283,"Botulism, Total",2016,Mar.,19
284,"Botulism, Foodborne",2016,Mar.,0
285,"Botulism, Infant",2016,Mar.,15
286,"Botulism, Other (wound & unspecified)",2016,Mar.,4
287,Brucellosis,2016,Mar.,12
288,Campylobacteriosis,2016,Mar.,"3,053"
289,Chancroid,2016,Mar.,0
290,Chlamydia trachomatis infection,2016,Mar.,"120,969"
291,Cholera,2016,Mar.,1
292,Coccidioidomycosis,2016,Mar.,741
293,"Cryptosporidiosis, Total",2016,Mar.,493
294,"Cryptosporidiosis, Confirmed",2016,Mar.,286
295,"Cryptosporidiosis, Probable",2016,Mar.,207
296,Cyclosporiasis,2016,Mar.,1
297,"Dengue virus infections, Dengue",2016,Mar.,62
298,"Dengue virus infections, Dengue-like illness",2016,Mar.,1
299,"Dengue virus infections, Severe dengue",2016,Mar.,0
300,Diphtheria,2016,Mar.,0
301,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Mar.,44
302,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Mar.,10
303,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Mar.,0
304,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Mar.,3
305,Giardiasis,2016,Mar.,"1,032"
306,Gonorrhea,2016,Mar.,"31,737"
307,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Mar.,390
308,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Mar.,3
309,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Mar.,18
310,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Mar.,19
311,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Mar.,12
312,Hansen's disease,2016,Mar.,4
313,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Mar.,1
314,Hantavirus pulmonary syndrome,2016,Mar.,1
315,Hemolytic uremic syndrome post-diarrheal,2016,Mar.,14
316,"Hepatitis, A, acute",2016,Mar.,98
317,"Hepatitis, B, acute",2016,Mar.,213
318,"Hepatitis, B, perinatal infection",2016,Mar.,2
319,"Hepatitis, C, acute",2016,Mar.,220
320,Human immunodeficiency virus diagnoses,2016,Mar.,"3,468"
321,Influenza-associated pediatric mortality,2016,Mar.,15
322,"Invasive pneumococcal disease, All ages",2016,Mar.,"2,014"
323,"Invasive pneumococcal disease, All ages, Confirmed",2016,Mar.,"2,013"
324,"Invasive pneumococcal disease, All ages, Probable",2016,Mar.,1
325,"Invasive pneumococcal disease, Age <5 years",2016,Mar.,127
326,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Mar.,127
327,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Mar.,0
328,Legionellosis,2016,Mar.,256
329,Leptospirosis,2016,Mar.,6
330,Listeriosis,2016,Mar.,31
331,"Lyme disease, Total",2016,Mar.,"1,056"
332,"Lyme disease, Confirmed",2016,Mar.,698
333,"Lyme disease, Probable",2016,Mar.,358
334,Malaria,2016,Mar.,75
335,"Measles, Total",2016,Mar.,4
336,"Measles, Indigenous",2016,Mar.,2
337,"Measles, Imported",2016,Mar.,2
338,"Meningococcal disease, All serogroups",2016,Mar.,32
339,"Meningococcal disease, Serogroups ACWY",2016,Mar.,9
340,"Meningococcal disease, Serogroup B",2016,Mar.,4
341,"Meningococcal disease, Other serogroups",2016,Mar.,5
342,"Meningococcal disease, Unknown serogroup",2016,Mar.,14
343,Mumps,2016,Mar.,314
344,Novel Influenza A virus infections,2016,Mar.,0
345,Pertussis,2016,Mar.,"1,084"
346,Plague,2016,Mar.,0
347,"Poliomyelitis, paralytic",2016,Mar.,0
348,"Poliovirus infection, nonparalytic",2016,Mar.,0
349,Psittacosis,2016,Mar.,2
350,"Q fever, Total",2016,Mar.,10
351,"Q fever, Acute",2016,Mar.,6
352,"Q fever, Chronic",2016,Mar.,4
353,"Rabies, Animal",2016,Mar.,414
354,"Rabies, Human",2016,Mar.,0
355,Rubella,2016,Mar.,0
356,"Rubella, congenital syndrome",2016,Mar.,0
357,Salmonellosis,2016,Mar.,"2,221"
358,Severe acute respiratory syndrome-associated coronavirus disease,2016,Mar.,0
359,Shiga toxin-producing Escherichia coli,2016,Mar.,395
360,Shigellosis,2016,Mar.,"1,663"
361,Smallpox,2016,Mar.,0
362,"Spotted fever rickettsiosis, Total",2016,Mar.,82
363,"Spotted fever rickettsiosis, Confirmed",2016,Mar.,9
364,"Spotted fever rickettsiosis, Probable",2016,Mar.,73
365,Streptococcal toxic shock syndrome,2016,Mar.,24
366,"Syphilis, Total, all stages",2016,Mar.,"6,831"
367,"Syphilis, Congenital",2016,Mar.,45
368,"Syphilis, Primary and secondary",2016,Mar.,"2,119"
369,Tetanus,2016,Mar.,3
370,Toxic shock syndrome (other than Streptococcal),2016,Mar.,2
371,Trichinellosis,2016,Mar.,1
372,Tuberculosis,2016,Mar.,698
373,Tularemia,2016,Mar.,5
374,Typhoid fever,2016,Mar.,20
375,Vancomycin-intermediate Staphylococcus aureus,2016,Mar.,9
376,Vancomycin-resistant Staphylococcus aureus,2016,Mar.,0
377,Varicella morbidity,2016,Mar.,733
378,Varicella mortality,2016,Mar.,0
379,"Vibriosis, Total",2016,Mar.,29
380,"Vibriosis, Confirmed",2016,Mar.,27
381,"Vibriosis, Probable",2016,Mar.,2
382,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Mar.,0
383,"Viral hemorrhagic fevers, Ebola virus",2016,Mar.,0
384,"Viral hemorrhagic fevers, Guanarito virus",2016,Mar.,0
385,"Viral hemorrhagic fevers, Junin virus",2016,Mar.,0
386,"Viral hemorrhagic fevers, Lassa virus",2016,Mar.,0
387,"Viral hemorrhagic fevers, Lujo virus",2016,Mar.,0
388,"Viral hemorrhagic fevers, Machupo virus",2016,Mar.,0
389,"Viral hemorrhagic fevers, Marburg virus",2016,Mar.,0
390,"Viral hemorrhagic fevers, Sabia virus",2016,Mar.,0
391,Yellow fever,2016,Mar.,0
392,"Zika virus, Zika virus disease, congenital",2016,Mar.,1
393,"Zika virus, Zika virus disease, non-congenital",2016,Mar.,137
394,"Zika virus, Zika virus infection, congenital",2016,Mar.,0
395,"Zika virus, Zika virus infection, non-congenital",2016,Mar.,38
396,Anthrax,2016,Apr.,0
397,"Arboviral diseases, Chikungunya virus disease",2016,Apr.,6
398,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Apr.,0
399,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Apr.,0
400,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Apr.,0
401,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Apr.,0
402,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Apr.,0
403,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Apr.,0
404,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Apr.,2
405,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Apr.,0
406,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Apr.,0
407,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Apr.,0
408,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Apr.,1
409,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Apr.,1
410,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Apr.,0
411,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Apr.,0
412,"Babesiosis, Total",2016,Apr.,28
413,"Babesiosis, Confirmed",2016,Apr.,18
414,"Babesiosis, Probable",2016,Apr.,10
415,"Botulism, Total",2016,Apr.,22
416,"Botulism, Foodborne",2016,Apr.,2
417,"Botulism, Infant",2016,Apr.,18
418,"Botulism, Other (wound & unspecified)",2016,Apr.,2
419,Brucellosis,2016,Apr.,14
420,Campylobacteriosis,2016,Apr.,"4,559"
421,Chancroid,2016,Apr.,2
422,Chlamydia trachomatis infection,2016,Apr.,"154,221"
423,Cholera,2016,Apr.,1
424,Coccidioidomycosis,2016,Apr.,973
425,"Cryptosporidiosis, Total",2016,Apr.,702
426,"Cryptosporidiosis, Confirmed",2016,Apr.,433
427,"Cryptosporidiosis, Probable",2016,Apr.,269
428,Cyclosporiasis,2016,Apr.,4
429,"Dengue virus infections, Dengue",2016,Apr.,53
430,"Dengue virus infections, Dengue-like illness",2016,Apr.,4
431,"Dengue virus infections, Severe dengue",2016,Apr.,1
432,Diphtheria,2016,Apr.,0
433,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Apr.,159
434,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Apr.,51
435,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Apr.,1
436,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Apr.,12
437,Giardiasis,2016,Apr.,"1,337"
438,Gonorrhea,2016,Apr.,"41,079"
439,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Apr.,582
440,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Apr.,2
441,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Apr.,14
442,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Apr.,14
443,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Apr.,14
444,Hansen's disease,2016,Apr.,7
445,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Apr.,1
446,Hantavirus pulmonary syndrome,2016,Apr.,4
447,Hemolytic uremic syndrome post-diarrheal,2016,Apr.,18
448,"Hepatitis, A, acute",2016,Apr.,141
449,"Hepatitis, B, acute",2016,Apr.,319
450,"Hepatitis, B, perinatal infection",2016,Apr.,5
451,"Hepatitis, C, acute",2016,Apr.,321
452,Human immunodeficiency virus diagnoses,2016,Apr.,"3,242"
453,Influenza-associated pediatric mortality,2016,Apr.,32
454,"Invasive pneumococcal disease, All ages",2016,Apr.,"2,270"
455,"Invasive pneumococcal disease, All ages, Confirmed",2016,Apr.,"2,269"
456,"Invasive pneumococcal disease, All ages, Probable",2016,Apr.,1
457,"Invasive pneumococcal disease, Age <5 years",2016,Apr.,124
458,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Apr.,124
459,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Apr.,0
