Disease,Year,Month,ym,Numerical_Month,Count
Brucellosis,2017,July,18,7,26.0
Brucellosis,2017,June,17,6,8.0
Brucellosis,2017,Mar.,14,3,11.0
Brucellosis,2017,May,16,5,11.0
Brucellosis,2017,Nov.,22,11,5.0
Brucellosis,2017,Oct.,21,10,11.0
Brucellosis,2017,Sept.,20,9,10.0
Brucellosis,2018,Apr.,27,4,17.0
Brucellosis,2018,Aug.,31,8,12.0
Brucellosis,2018,Dec.,35,12,14.0
Brucellosis,2018,Feb.,25,2,5.0
Brucellosis,2018,Jan.,24,1,3.0
Brucellosis,2018,July,30,7,10.0
Brucellosis,2018,June,29,6,14.0
Brucellosis,2018,Mar.,26,3,14.0
Brucellosis,2018,May,28,5,15.0
Brucellosis,2018,Nov.,34,11,14.0
Brucellosis,2018,Oct.,33,10,6.0
Brucellosis,2018,Sept.,32,9,14.0
Campylobacteriosis,2016,Apr.,3,4,4559.0
Campylobacteriosis,2016,Aug.,7,8,5907.0
Campylobacteriosis,2016,Dec.,11,12,6945.0
Campylobacteriosis,2016,Feb.,1,2,3104.0
Campylobacteriosis,2016,Jan.,0,1,3289.0
Campylobacteriosis,2016,July,6,7,7983.0
Campylobacteriosis,2016,June,5,6,6018.0
Campylobacteriosis,2016,Mar.,2,3,3053.0
Campylobacteriosis,2016,May,4,5,4615.0
Campylobacteriosis,2016,Nov.,10,11,4097.0
Campylobacteriosis,2016,Oct.,9,10,5665.0
Campylobacteriosis,2016,Sept.,8,9,4885.0
Campylobacteriosis,2017,Apr.,15,4,5358.0
Campylobacteriosis,2017,Aug.,19,8,6488.0
Campylobacteriosis,2017,Dec.,23,12,8219.0
Campylobacteriosis,2017,Feb.,13,2,3486.0
Campylobacteriosis,2017,Jan.,12,1,3485.0
Campylobacteriosis,2017,July,18,7,8989.0
Campylobacteriosis,2017,June,17,6,6605.0
Campylobacteriosis,2017,Mar.,14,3,3646.0
Campylobacteriosis,2017,May,16,5,5167.0
Campylobacteriosis,2017,Nov.,22,11,4440.0
Campylobacteriosis,2017,Oct.,21,10,4832.0
Campylobacteriosis,2017,Sept.,20,9,6822.0
Campylobacteriosis,2018,Apr.,27,4,4699.0
Campylobacteriosis,2018,Aug.,31,8,6864.0
Campylobacteriosis,2018,Dec.,35,12,8044.0
Campylobacteriosis,2018,Feb.,25,2,3321.0
Campylobacteriosis,2018,Jan.,24,1,3244.0
Campylobacteriosis,2018,July,30,7,7607.0
Campylobacteriosis,2018,June,29,6,9038.0
Campylobacteriosis,2018,Mar.,26,3,4836.0
Campylobacteriosis,2018,May,28,5,5407.0
Campylobacteriosis,2018,Nov.,34,11,4796.0
Campylobacteriosis,2018,Oct.,33,10,5220.0
Campylobacteriosis,2018,Sept.,32,9,7124.0
Chancroid,2016,Apr.,3,4,2.0
Chancroid,2016,Aug.,7,8,0.0
Chancroid,2016,Dec.,11,12,0.0
Chancroid,2016,Feb.,1,2,1.0
Chancroid,2016,Jan.,0,1,0.0
Chancroid,2016,July,6,7,1.0
Chancroid,2016,June,5,6,0.0
Chancroid,2016,Mar.,2,3,0.0
Chancroid,2016,May,4,5,0.0
Chancroid,2016,Nov.,10,11,0.0
Chancroid,2016,Oct.,9,10,0.0
Chancroid,2016,Sept.,8,9,3.0
Chancroid,2017,Apr.,15,4,1.0
Chancroid,2017,Aug.,19,8,0.0
Chancroid,2017,Dec.,23,12,0.0
Chancroid,2017,Feb.,13,2,0.0
Chancroid,2017,Jan.,12,1,1.0
Chancroid,2017,July,18,7,0.0
Chancroid,2017,June,17,6,1.0
Chancroid,2017,Mar.,14,3,3.0
Chancroid,2017,May,16,5,0.0
Chancroid,2017,Nov.,22,11,0.0
Chancroid,2017,Oct.,21,10,1.0
Chancroid,2017,Sept.,20,9,0.0
Chancroid,2018,Apr.,27,4,1.0
Chancroid,2018,Aug.,31,8,1.0
Chancroid,2018,Dec.,35,12,0.0
Chancroid,2018,Feb.,25,2,0.0
Chancroid,2018,Jan.,24,1,0.0
Chancroid,2018,July,30,7,0.0
Chancroid,2018,June,29,6,0.0
Chancroid,2018,Mar.,26,3,1.0
Chancroid,2018,May,28,5,0.0
Chancroid,2018,Nov.,34,11,0.0
Chancroid,2018,Oct.,33,10,0.0
Chancroid,2018,Sept.,32,9,0.0
Chikungunya virus,2016,Apr.,3,4,6.0
Chikungunya virus,2016,Aug.,7,8,34.0
Chikungunya virus,2016,Dec.,11,12,18.0
Chikungunya virus,2016,Feb.,1,2,27.0
Chikungunya virus,2016,Jan.,0,1,24.0
Chikungunya virus,2016,July,6,7,17.0
Chikungunya virus,2016,June,5,6,17.0
Chikungunya virus,2016,Mar.,2,3,11.0
Chikungunya virus,2016,May,4,5,11.0
Chikungunya virus,2016,Nov.,10,11,25.0
Chikungunya virus,2016,Oct.,9,10,25.0
Chikungunya virus,2016,Sept.,8,9,32.0
Chikungunya virus,2017,Apr.,15,4,7.0
Chikungunya virus,2017,Aug.,19,8,14.0
Chikungunya virus,2017,Dec.,23,12,20.0
Chikungunya virus,2017,Feb.,13,2,2.0
Chikungunya virus,2017,Jan.,12,1,6.0
Chikungunya virus,2017,July,18,7,19.0
Chikungunya virus,2017,June,17,6,17.0
Chikungunya virus,2017,Mar.,14,3,5.0
Chikungunya virus,2017,May,16,5,11.0
Chikungunya virus,2017,Nov.,22,11,9.0
Chikungunya virus,2017,Oct.,21,10,17.0
Chikungunya virus,2017,Sept.,20,9,29.0
Chikungunya virus,2018,Apr.,27,4,11.0
Chikungunya virus,2018,Aug.,31,8,17.0
Chikungunya virus,2018,Dec.,35,12,10.0
Chikungunya virus,2018,Feb.,25,2,4.0
Chikungunya virus,2018,Jan.,24,1,7.0
Chikungunya virus,2018,July,30,7,18.0
Chikungunya virus,2018,June,29,6,11.0
Chikungunya virus,2018,Mar.,26,3,4.0
Chikungunya virus,2018,May,28,5,9.0
Chikungunya virus,2018,Nov.,34,11,4.0
Chikungunya virus,2018,Oct.,33,10,9.0
Chikungunya virus,2018,Sept.,32,9,13.0
Chlamydia trachomatis infection,2016,Apr.,3,4,154221.0
Chlamydia trachomatis infection,2016,Aug.,7,8,129334.0
Chlamydia trachomatis infection,2016,Dec.,11,12,165230.0
Chlamydia trachomatis infection,2016,Feb.,1,2,124918.0
Chlamydia trachomatis infection,2016,Jan.,0,1,118413.0
Chlamydia trachomatis infection,2016,July,6,7,147782.0
Chlamydia trachomatis infection,2016,June,5,6,115560.0
Chlamydia trachomatis infection,2016,Mar.,2,3,120969.0
Chlamydia trachomatis infection,2016,May,4,5,124652.0
Chlamydia trachomatis infection,2016,Nov.,10,11,117487.0
Chlamydia trachomatis infection,2016,Oct.,9,10,155523.0
Chlamydia trachomatis infection,2016,Sept.,8,9,124265.0
Chlamydia trachomatis infection,2017,Apr.,15,4,162492.0
Chlamydia trachomatis infection,2017,Aug.,19,8,140581.0
Chlamydia trachomatis infection,2017,Dec.,23,12,168005.0
Chlamydia trachomatis infection,2017,Feb.,13,2,131274.0
Chlamydia trachomatis infection,2017,Jan.,12,1,121687.0
Chlamydia trachomatis infection,2017,July,18,7,161548.0
Chlamydia trachomatis infection,2017,June,17,6,124608.0
Chlamydia trachomatis infection,2017,Mar.,14,3,131494.0
Chlamydia trachomatis infection,2017,May,16,5,132119.0
Chlamydia trachomatis infection,2017,Nov.,22,11,125923.0
Chlamydia trachomatis infection,2017,Oct.,21,10,141332.0
Chlamydia trachomatis infection,2017,Sept.,20,9,167506.0
Chlamydia trachomatis infection,2018,Apr.,27,4,136608.0
Chlamydia trachomatis infection,2018,Aug.,31,8,144821.0
Chlamydia trachomatis infection,2018,Dec.,35,12,169351.0
Chlamydia trachomatis infection,2018,Feb.,25,2,134590.0
Chlamydia trachomatis infection,2018,Jan.,24,1,126499.0
Chlamydia trachomatis infection,2018,July,30,7,131200.0
Chlamydia trachomatis infection,2018,June,29,6,163507.0
Chlamydia trachomatis infection,2018,Mar.,26,3,169317.0
Chlamydia trachomatis infection,2018,May,28,5,135445.0
Chlamydia trachomatis infection,2018,Nov.,34,11,128844.0
Chlamydia trachomatis infection,2018,Oct.,33,10,141520.0
Chlamydia trachomatis infection,2018,Sept.,32,9,176966.0
Cholera,2016,Apr.,3,4,1.0
Cholera,2016,Aug.,7,8,2.0
Cholera,2016,Dec.,11,12,0.0
Cholera,2016,Feb.,1,2,1.0
Cholera,2016,Jan.,0,1,3.0
Cholera,2016,July,6,7,3.0
Cholera,2016,June,5,6,0.0
Cholera,2016,Mar.,2,3,1.0
Cholera,2016,May,4,5,1.0
Cholera,2016,Nov.,10,11,0.0
Cholera,2016,Oct.,9,10,2.0
Cholera,2016,Sept.,8,9,1.0
Cholera,2017,Apr.,15,4,1.0
Cholera,2017,Aug.,19,8,3.0
Cholera,2017,Dec.,23,12,0.0
Cholera,2017,Feb.,13,2,1.0
Cholera,2017,Jan.,12,1,0.0
Cholera,2017,July,18,7,3.0
Cholera,2017,June,17,6,0.0
Cholera,2017,Mar.,14,3,1.0
Cholera,2017,May,16,5,1.0
Cholera,2017,Nov.,22,11,0.0
Cholera,2017,Oct.,21,10,0.0
Cholera,2017,Sept.,20,9,0.0
Cholera,2018,Apr.,27,4,0.0
Cholera,2018,Aug.,31,8,0.0
Cholera,2018,Dec.,35,12,2.0
Cholera,2018,Feb.,25,2,2.0
Cholera,2018,Jan.,24,1,0.0
Cholera,2018,July,30,7,1.0
Cholera,2018,June,29,6,1.0
Cholera,2018,Mar.,26,3,0.0
Cholera,2018,May,28,5,1.0
Cholera,2018,Nov.,34,11,1.0
Cholera,2018,Oct.,33,10,2.0
Cholera,2018,Sept.,32,9,4.0
Coccidioidomycosis,2016,Apr.,3,4,973.0
Coccidioidomycosis,2016,Aug.,7,8,1002.0
Coccidioidomycosis,2016,Dec.,11,12,1284.0
Coccidioidomycosis,2016,Feb.,1,2,741.0
Coccidioidomycosis,2016,Jan.,0,1,832.0
Coccidioidomycosis,2016,July,6,7,995.0
Coccidioidomycosis,2016,June,5,6,688.0
Coccidioidomycosis,2016,Mar.,2,3,741.0
Coccidioidomycosis,2016,May,4,5,667.0
Coccidioidomycosis,2016,Nov.,10,11,1222.0
Coccidioidomycosis,2016,Oct.,9,10,1646.0
Coccidioidomycosis,2016,Sept.,8,9,1038.0
Coccidioidomycosis,2017,Apr.,15,4,866.0
Coccidioidomycosis,2017,Aug.,19,8,1131.0
Coccidioidomycosis,2017,Dec.,23,12,2478.0
Coccidioidomycosis,2017,Feb.,13,2,742.0
Coccidioidomycosis,2017,Jan.,12,1,866.0
Coccidioidomycosis,2017,July,18,7,1209.0
Coccidioidomycosis,2017,June,17,6,789.0
Coccidioidomycosis,2017,Mar.,14,3,661.0
Coccidioidomycosis,2017,May,16,5,766.0
Coccidioidomycosis,2017,Nov.,22,11,1751.0
Coccidioidomycosis,2017,Oct.,21,10,1568.0
Coccidioidomycosis,2017,Sept.,20,9,1537.0
Coccidioidomycosis,2018,Apr.,27,4,995.0
Coccidioidomycosis,2018,Aug.,31,8,1160.0
Coccidioidomycosis,2018,Dec.,35,12,1507.0
Coccidioidomycosis,2018,Feb.,25,2,1304.0
Coccidioidomycosis,2018,Jan.,24,1,1880.0
Coccidioidomycosis,2018,July,30,7,1197.0
Coccidioidomycosis,2018,June,29,6,1356.0
Coccidioidomycosis,2018,Mar.,26,3,1389.0
Coccidioidomycosis,2018,May,28,5,1131.0
Coccidioidomycosis,2018,Nov.,34,11,1127.0
Coccidioidomycosis,2018,Oct.,33,10,1211.0
Coccidioidomycosis,2018,Sept.,32,9,1354.0
Crimean-Congo hemorrhagic fever virus,2016,Apr.,3,4,0.0
Crimean-Congo hemorrhagic fever virus,2016,Aug.,7,8,0.0
Crimean-Congo hemorrhagic fever virus,2016,Dec.,11,12,0.0
Crimean-Congo hemorrhagic fever virus,2016,Feb.,1,2,0.0
Crimean-Congo hemorrhagic fever virus,2016,Jan.,0,1,0.0
Crimean-Congo hemorrhagic fever virus,2016,July,6,7,0.0
Crimean-Congo hemorrhagic fever virus,2016,June,5,6,0.0
Crimean-Congo hemorrhagic fever virus,2016,Mar.,2,3,0.0
Crimean-Congo hemorrhagic fever virus,2016,May,4,5,0.0
Crimean-Congo hemorrhagic fever virus,2016,Nov.,10,11,0.0
Crimean-Congo hemorrhagic fever virus,2016,Oct.,9,10,0.0
Crimean-Congo hemorrhagic fever virus,2016,Sept.,8,9,0.0
Crimean-Congo hemorrhagic fever virus,2017,Apr.,15,4,0.0
Crimean-Congo hemorrhagic fever virus,2017,Aug.,19,8,0.0
Crimean-Congo hemorrhagic fever virus,2017,Dec.,23,12,0.0
Crimean-Congo hemorrhagic fever virus,2017,Feb.,13,2,0.0
Crimean-Congo hemorrhagic fever virus,2017,Jan.,12,1,0.0
Crimean-Congo hemorrhagic fever virus,2017,July,18,7,0.0
Crimean-Congo hemorrhagic fever virus,2017,June,17,6,0.0
Crimean-Congo hemorrhagic fever virus,2017,Mar.,14,3,0.0
Crimean-Congo hemorrhagic fever virus,2017,May,16,5,0.0
Crimean-Congo hemorrhagic fever virus,2017,Nov.,22,11,0.0
Crimean-Congo hemorrhagic fever virus,2017,Oct.,21,10,0.0
Crimean-Congo hemorrhagic fever virus,2017,Sept.,20,9,0.0
Crimean-Congo hemorrhagic fever virus,2018,Apr.,27,4,0.0
Crimean-Congo hemorrhagic fever virus,2018,Aug.,31,8,0.0
Crimean-Congo hemorrhagic fever virus,2018,Dec.,35,12,0.0
Crimean-Congo hemorrhagic fever virus,2018,Feb.,25,2,0.0
Crimean-Congo hemorrhagic fever virus,2018,Jan.,24,1,0.0
Crimean-Congo hemorrhagic fever virus,2018,July,30,7,0.0
Crimean-Congo hemorrhagic fever virus,2018,June,29,6,0.0
Crimean-Congo hemorrhagic fever virus,2018,Mar.,26,3,0.0
Crimean-Congo hemorrhagic fever virus,2018,May,28,5,0.0
Crimean-Congo hemorrhagic fever virus,2018,Nov.,34,11,0.0
Crimean-Congo hemorrhagic fever virus,2018,Oct.,33,10,0.0
Crimean-Congo hemorrhagic fever virus,2018,Sept.,32,9,0.0
Cryptosporidiosis,2016,Apr.,3,4,702.0
Cryptosporidiosis,2016,Aug.,7,8,2541.0
Cryptosporidiosis,2016,Dec.,11,12,968.0
Cryptosporidiosis,2016,Feb.,1,2,551.0
Cryptosporidiosis,2016,Jan.,0,1,486.0
Cryptosporidiosis,2016,July,6,7,1279.0
Cryptosporidiosis,2016,June,5,6,745.0
Cryptosporidiosis,2016,Mar.,2,3,493.0
Cryptosporidiosis,2016,May,4,5,648.0
Cryptosporidiosis,2016,Nov.,10,11,846.0
Cryptosporidiosis,2016,Oct.,9,10,1771.0
Cryptosporidiosis,2016,Sept.,8,9,2423.0
Cryptosporidiosis,2017,Apr.,15,4,828.0
Cryptosporidiosis,2017,Aug.,19,8,1666.0
Cryptosporidiosis,2017,Dec.,23,12,1051.0
Cryptosporidiosis,2017,Feb.,13,2,463.0
Cryptosporidiosis,2017,Jan.,12,1,449.0
Cryptosporidiosis,2017,July,18,7,1229.0
Cryptosporidiosis,2017,June,17,6,710.0
Cryptosporidiosis,2017,Mar.,14,3,585.0
Cryptosporidiosis,2017,May,16,5,594.0
Cryptosporidiosis,2017,Nov.,22,11,801.0
Cryptosporidiosis,2017,Oct.,21,10,1186.0
Cryptosporidiosis,2017,Sept.,20,9,1852.0
Cryptosporidiosis,2018,Apr.,27,4,779.0
Cryptosporidiosis,2018,Aug.,31,8,1768.0
Cryptosporidiosis,2018,Dec.,35,12,1107.0
Cryptosporidiosis,2018,Feb.,25,2,533.0
Cryptosporidiosis,2018,Jan.,24,1,539.0
Cryptosporidiosis,2018,July,30,7,1452.0
Cryptosporidiosis,2018,June,29,6,1202.0
Cryptosporidiosis,2018,Mar.,26,3,780.0
Cryptosporidiosis,2018,May,28,5,795.0
Cryptosporidiosis,2018,Nov.,34,11,781.0
Cryptosporidiosis,2018,Oct.,33,10,1023.0
Cryptosporidiosis,2018,Sept.,32,9,1774.0
Cyclosporiasis,2016,Apr.,3,4,4.0
Cyclosporiasis,2016,Aug.,7,8,136.0
Cyclosporiasis,2016,Dec.,11,12,22.0
Cyclosporiasis,2016,Feb.,1,2,4.0
Cyclosporiasis,2016,Jan.,0,1,1.0
Cyclosporiasis,2016,July,6,7,213.0
Cyclosporiasis,2016,June,5,6,50.0
Cyclosporiasis,2016,Mar.,2,3,1.0
Cyclosporiasis,2016,May,4,5,18.0
Cyclosporiasis,2016,Nov.,10,11,14.0
Cyclosporiasis,2016,Oct.,9,10,21.0
Cyclosporiasis,2016,Sept.,8,9,53.0
Cyclosporiasis,2017,Apr.,15,4,7.0
Cyclosporiasis,2017,Aug.,19,8,361.0
Cyclosporiasis,2017,Dec.,23,12,25.0
Cyclosporiasis,2017,Feb.,13,2,2.0
Cyclosporiasis,2017,Jan.,12,1,5.0
Cyclosporiasis,2017,July,18,7,439.0
Cyclosporiasis,2017,June,17,6,210.0
Cyclosporiasis,2017,Mar.,14,3,5.0
Cyclosporiasis,2017,May,16,5,41.0
Cyclosporiasis,2017,Nov.,22,11,7.0
Cyclosporiasis,2017,Oct.,21,10,21.0
Cyclosporiasis,2017,Sept.,20,9,71.0
Cyclosporiasis,2018,Apr.,27,4,22.0
Cyclosporiasis,2018,Aug.,31,8,325.0
Cyclosporiasis,2018,Dec.,35,12,53.0
Cyclosporiasis,2018,Feb.,25,2,7.0
Cyclosporiasis,2018,Jan.,24,1,4.0
Cyclosporiasis,2018,July,30,7,1639.0
Cyclosporiasis,2018,June,29,6,1147.0
Cyclosporiasis,2018,Mar.,26,3,15.0
Cyclosporiasis,2018,May,28,5,148.0
Cyclosporiasis,2018,Nov.,34,11,20.0
Cyclosporiasis,2018,Oct.,33,10,26.0
Cyclosporiasis,2018,Sept.,32,9,113.0
Dengue virus infections,2016,Apr.,3,4,58.0
Dengue virus infections,2016,Aug.,7,8,122.0
Dengue virus infections,2016,Dec.,11,12,35.0
Dengue virus infections,2016,Feb.,1,2,66.0
Dengue virus infections,2016,Jan.,0,1,161.0
Dengue virus infections,2016,July,6,7,137.0
Dengue virus infections,2016,June,5,6,70.0
Dengue virus infections,2016,Mar.,2,3,63.0
Dengue virus infections,2016,May,4,5,58.0
Dengue virus infections,2016,Nov.,10,11,38.0
Dengue virus infections,2016,Oct.,9,10,56.0
Dengue virus infections,2016,Sept.,8,9,89.0
Dengue virus infections,2017,Apr.,15,4,10.0
Dengue virus infections,2017,Aug.,19,8,63.0
Dengue virus infections,2017,Dec.,23,12,40.0
Dengue virus infections,2017,Feb.,13,2,17.0
Dengue virus infections,2017,Jan.,12,1,33.0
Dengue virus infections,2017,July,18,7,60.0
Dengue virus infections,2017,June,17,6,23.0
Dengue virus infections,2017,Mar.,14,3,13.0
Dengue virus infections,2017,May,16,5,17.0
Dengue virus infections,2017,Nov.,22,11,48.0
Dengue virus infections,2017,Oct.,21,10,59.0
Dengue virus infections,2017,Sept.,20,9,71.0
Dengue virus infections,2018,Apr.,27,4,15.0
Dengue virus infections,2018,Aug.,31,8,62.0
Dengue virus infections,2018,Dec.,35,12,82.0
Dengue virus infections,2018,Feb.,25,2,10.0
Dengue virus infections,2018,Jan.,24,1,21.0
Dengue virus infections,2018,July,30,7,52.0
Dengue virus infections,2018,June,29,6,23.0
Dengue virus infections,2018,Mar.,26,3,5.0
Dengue virus infections,2018,May,28,5,14.0
Dengue virus infections,2018,Nov.,34,11,78.0
Dengue virus infections,2018,Oct.,33,10,55.0
Dengue virus infections,2018,Sept.,32,9,57.0
Diphtheria,2016,Apr.,3,4,0.0
Diphtheria,2016,Aug.,7,8,0.0
Diphtheria,2016,Dec.,11,12,0.0
Diphtheria,2016,Feb.,1,2,0.0
Diphtheria,2016,Jan.,0,1,0.0
Diphtheria,2016,July,6,7,0.0
Diphtheria,2016,June,5,6,0.0
Diphtheria,2016,Mar.,2,3,0.0
Diphtheria,2016,May,4,5,0.0
Diphtheria,2016,Nov.,10,11,0.0
Diphtheria,2016,Oct.,9,10,0.0
Diphtheria,2016,Sept.,8,9,0.0
Diphtheria,2017,Apr.,15,4,0.0
Diphtheria,2017,Aug.,19,8,0.0
Diphtheria,2017,Dec.,23,12,0.0
Diphtheria,2017,Feb.,13,2,0.0
Diphtheria,2017,Jan.,12,1,0.0
Diphtheria,2017,July,18,7,0.0
Diphtheria,2017,June,17,6,0.0
Diphtheria,2017,Mar.,14,3,0.0
Diphtheria,2017,May,16,5,0.0
Diphtheria,2017,Nov.,22,11,0.0
Diphtheria,2017,Oct.,21,10,0.0
Diphtheria,2017,Sept.,20,9,0.0
Diphtheria,2018,Apr.,27,4,0.0
Diphtheria,2018,Aug.,31,8,0.0
Diphtheria,2018,Dec.,35,12,0.0
Diphtheria,2018,Feb.,25,2,0.0
Diphtheria,2018,Jan.,24,1,0.0
Diphtheria,2018,July,30,7,0.0
Diphtheria,2018,June,29,6,0.0
Diphtheria,2018,Mar.,26,3,0.0
Diphtheria,2018,May,28,5,0.0
Diphtheria,2018,Nov.,34,11,0.0
Diphtheria,2018,Oct.,33,10,1.0
Diphtheria,2018,Sept.,32,9,0.0
Eastern equine encephalitis virus,2016,Apr.,3,4,0.0
Eastern equine encephalitis virus,2016,Aug.,7,8,0.0
Eastern equine encephalitis virus,2016,Dec.,11,12,0.0
Eastern equine encephalitis virus,2016,Feb.,1,2,0.0
Eastern equine encephalitis virus,2016,Jan.,0,1,0.0
Eastern equine encephalitis virus,2016,July,6,7,3.0
Eastern equine encephalitis virus,2016,June,5,6,0.0
Eastern equine encephalitis virus,2016,Mar.,2,3,0.0
Eastern equine encephalitis virus,2016,May,4,5,0.0
Eastern equine encephalitis virus,2016,Nov.,10,11,0.0
Eastern equine encephalitis virus,2016,Oct.,9,10,2.0
Eastern equine encephalitis virus,2016,Sept.,8,9,2.0
Eastern equine encephalitis virus,2017,Apr.,15,4,0.0
Eastern equine encephalitis virus,2017,Aug.,19,8,0.0
Eastern equine encephalitis virus,2017,Dec.,23,12,1.0
Eastern equine encephalitis virus,2017,Feb.,13,2,0.0
Eastern equine encephalitis virus,2017,Jan.,12,1,0.0
Eastern equine encephalitis virus,2017,July,18,7,0.0
Eastern equine encephalitis virus,2017,June,17,6,0.0
Eastern equine encephalitis virus,2017,Mar.,14,3,0.0
Eastern equine encephalitis virus,2017,May,16,5,0.0
Eastern equine encephalitis virus,2017,Nov.,22,11,0.0
Eastern equine encephalitis virus,2017,Oct.,21,10,3.0
