Disease	Female, No.	Female, Rate	Male, No.	Male, Rate	Sex not stated, No.	Total, No.
Invasive pneumococcal disease, All ages ¶	9,413	7.59	10,328	8.61	116	19,857
Invasive pneumococcal disease, All ages, Confirmed ¶	9,291	7.49	10,212	8.52	116	19,619
Invasive pneumococcal disease, All ages, Probable ¶	122	0.10	116	0.10	—	238
Invasive pneumococcal disease, Age <5 years ¶	477	0.36	631	0.49	8	1,116
Invasive pneumococcal disease, Age <5 years, Confirmed ¶	463	5.97	607	7.48	8	1,078
Invasive pneumococcal disease, Age <5 years, Probable ¶	14	0.18	24	0.30	—	38
Legionellosis 	3,637	2.19	6,289	3.90	7	9,933
Leptospirosis 	21	0.02	70	0.05	—	91
Listeriosis 	452	0.27	406	0.25	6	864
Lyme disease, Total 	14,048	8.50	19,092	11.90	526	33,666
Lyme disease, Confirmed 	9,708	5.87	13,346	8.32	504	23,558
Lyme disease, Probable 	4,340	2.63	5,746	3.58	22	10,108
Malaria 	659	0.40	1,085	0.67	4	1,748
Measles, Total 	182	0.11	193	0.12	—	375
Measles, Indigenous 	147	0.09	149	0.09	—	296
Measles, Imported 	35	0.02	44	0.03	—	79
Meningococcal disease, All serogroups 	161	0.10	166	0.10	—	327
Meningococcal disease, Serogroups ACWY 	46	0.03	54	0.03	—	100
Meningococcal disease, Serogroup B 	50	0.03	31	0.02	—	81
Meningococcal disease, Other serogroups 	10	0.01	13	0.01	—	23
Meningococcal disease, Unknown serogroup 	55	0.03	68	0.04	—	123
Mumps 	1,032	0.62	1,477	0.92	6	2,515
Novel Influenza A virus infections 	5	0.00	9	0.01	—	14
Paratyphoid fever **	70	0.04	63	0.04	—	133
Pertussis 	8,485	5.11	7,064	4.38	60	15,609
Plague 	—	—	1	0.00	—	1
Poliomyelitis, paralytic 	—	—	—	—	—	—
Poliovirus infection, nonparalytic 	—	—	—	—	—	—
Psittacosis 	9	0.01	13	0.01	—	22
Q fever, Total 	46	0.03	168	0.10	1	215
Q fever, Acute 	38	0.02	140	0.09	—	178
Q fever, Chronic 	8	0.00	28	0.02	1	37
Rabies, Human 	1	0.00	2	0.00	—	3
Rubella 	1	0.00	3	0.00	—	4
Rubella, congenital syndrome 	—	—	—	—	—	—
Salmonellosis (excluding paratyphoid fever and typhoid fever) ††	32,510	19.58	28,215	17.51	274	60,999
Severe acute respiratory syndrome-associated coronavirus disease 	—	—	—	—	—	—
Shiga toxin-producing Escherichia coli (STEC) 	8,793	5.30	7,160	4.44	43	15,996
Shigellosis 	6,690	4.03	9,587	5.95	56	16,333
Smallpox 	—	—	—	—	—	—
Spotted fever rickettsiosis, Total 	1,847	1.12	3,690	2.31	7	5,544
Spotted fever rickettsiosis, Confirmed 	51	0.03	73	0.05	—	124
Spotted fever rickettsiosis, Probable 	1,796	1.09	3,617	2.26	7	5,420
Streptococcal toxic shock syndrome 	180	0.17	191	0.19	—	371
Syphilis, Total, all stages §§	22,118	13.32	91,525	56.80	1,402	115,045
Syphilis, Congenital 	—	—	—	—	1,306	1,306
Syphilis, Primary and secondary 	4,995	3.01	30,034	18.64	34	35,063
Tetanus 	11	0.01	12	0.01	—	23
Toxic shock syndrome (other than Streptococcal) 	23	0.02	10	0.01	—	33
Trichinellosis 	1	0.00	—	—	—	1
Tuberculosis 	3,476	2.09	5,527	3.43	22	9,025
Tularemia 	80	0.05	149	0.09	—	229
Typhoid fever 	192	0.12	209	0.13	—	401
Vancomycin-intermediate Staphylococcus aureus 	36	0.03	49	0.04	—	85
Vancomycin-resistant Staphylococcus aureus 	—	—	—	—	—	—
Varicella morbidity 	3,785	2.79	4,377	3.32	39	8,201
Varicella mortality 	U	U	U	U	U	U
Vibriosis, Total 	1,239	0.76	1,717	1.08	8	2,964
Vibriosis, Confirmed 	639	0.39	1,179	0.74	4	1,822
Vibriosis, Probable 	600	0.37	538	0.34	4	1,142
Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Ebola virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Guanarito virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Junin virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Lassa virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Lujo virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Machupo virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Marburg virus 	—	—	—	—	—	—
Viral hemorrhagic fevers, Sabia virus 	—	—	—	—	—	—
Yellow fever 	—	—	—	—	—	—
Zika virus, Zika virus disease, congenital ¶¶	1	0.05	1	0.05	—	2
Zika virus, Zika virus disease, non-congenital 	56	0.03	23	0.01	—	79
Zika virus, Zika virus infection, congenital ¶¶	4	0.21	4	0.20	—	8
Zika virus, Zika virus infection, non-congenital 	230	0.14	15	0.01	—	245
