Disease	Case Count	Rate
Vancomycin-intermediate Staphylococcus aureus 	109	0.04
Vancomycin-resistant Staphylococcus aureus 	3	0.00
Varicella morbidity 	8,775	3.30
Varicella mortality 	2	0.00
Vibriosis, Total 	2,085	0.65
Vibriosis, Confirmed 	1,497	0.47
Vibriosis, Probable 	588	0.18
Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus 	—	—
Viral hemorrhagic fevers, Ebola virus 	—	—
Viral hemorrhagic fevers, Guanarito virus 	—	—
Viral hemorrhagic fevers, Junin virus 	—	—
Viral hemorrhagic fevers, Lassa virus 	—	—
Viral hemorrhagic fevers, Lujo virus 	—	—
Viral hemorrhagic fevers, Machupo virus 	—	—
Viral hemorrhagic fevers, Marburg virus 	—	—
Viral hemorrhagic fevers, Sabia virus 	—	—
Yellow fever 	—	—
Zika virus, Zika virus disease, congenital *,†††	22	0.56
Zika virus, Zika virus disease, non-congenital 	497	0.15
Zika virus, Zika virus infection, congenital *,†††	17	0.43
Zika virus, Zika virus infection, non-congenital 	641	0.20
