Disease	Case Count	Rate
Varicella mortality 	6	0.00
Vibriosis, Total 	2,964	0.92
Vibriosis, Confirmed 	1,822	0.57
Vibriosis, Probable 	1,142	0.35
Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus 	—	—
Viral hemorrhagic fevers, Ebola virus 	—	—
Viral hemorrhagic fevers, Guanarito virus 	—	—
Viral hemorrhagic fevers, Junin virus 	—	—
Viral hemorrhagic fevers, Lassa virus 	—	—
Viral hemorrhagic fevers, Lujo virus 	—	—
Viral hemorrhagic fevers, Machupo virus 	—	—
Viral hemorrhagic fevers, Marburg virus 	—	—
Viral hemorrhagic fevers, Sabia virus 	—	—
Yellow fever 	—	—
Zika virus, Zika virus disease, congenital ¶¶	2	0.05
Zika virus, Zika virus disease, non-congenital 	79	0.02
Zika virus, Zika virus infection, congenital ¶¶	8	0.21
Zika virus, Zika virus infection, non-congenital 	245	0.07
