Disease	Jan.	Feb.	Mar.	Apr.	May	June	July	Aug.	Sept.	Oct.	Nov.	Dec.	Unknown	Total
Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype 	13	25	21	17	13	14	13	5	15	10	14	31	—	191
Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable 	18	29	27	14	18	23	7	13	17	14	15	27	—	222
Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype 	14	11	17	18	14	14	10	9	13	8	13	34	—	175
Hansen's disease 	4	7	8	5	7	10	4	19	6	11	4	5	—	90
Hantavirus infection, non-hantavirus pulmonary syndrome 	—	—	—	—	—	—	—	2	—	—	—	—	—	2
Hantavirus pulmonary syndrome 	1	1	2	1	1	2	2	1	3	1	1	2	—	18
Hemolytic uremic syndrome post-diarrheal 	9	3	20	31	34	45	59	34	56	24	39	22	—	376
Hepatitis, A, acute ¶	249	295	411	486	524	1,101	1,011	1,228	1,702	1,538	1,565	2,364	—	12,474
Hepatitis, B, acute ¶	206	247	291	260	219	316	264	256	339	261	249	414	—	3,322
Hepatitis, B, perinatal infection ¶	3	3	2	2	2	—	3	3	—	—	2	3	—	23
Hepatitis, C, acute ¶	293	326	418	357	432	428	336	373	544	355	296	610	—	4,768
Hepatitis, C, acute, Confirmed ¶	250	277	347	290	332	344	266	269	333	255	213	445	—	3,621
Hepatitis, C, acute, Probable ¶	43	49	71	67	100	84	70	104	211	100	83	165	—	1,147
Hepatitis, C, perinatal infection ¶	15	20	24	20	25	22	8	9	22	13	12	24	—	214
Human immunodeficiency virus diagnoses 	3,151	2,894	3,225	3,004	3,224	3,173	3,176	3,264	2,734	2,848	1,788	517	1	32,999
Influenza-associated pediatric mortality 	36	53	24	18	9	4	—	2	1	4	1	7	—	159
Invasive pneumococcal disease, All ages **	2,820	2,386	2,417	1,892	1,565	1,340	741	621	993	1,059	1,263	2,760	—	19,857
Invasive pneumococcal disease, All ages, Confirmed **	2,789	2,364	2,383	1,874	1,549	1,325	725	611	981	1,048	1,242	2,728	—	19,619
Invasive pneumococcal disease, All ages, Probable **	31	22	34	18	16	15	16	10	12	11	21	32	—	238
Invasive pneumococcal disease, Age <5 years **	101	122	132	91	85	92	36	37	78	84	91	167	—	1,116
Invasive pneumococcal disease, Age <5 years, Confirmed **	98	118	126	90	84	89	32	35	77	82	87	160	—	1,078
Invasive pneumococcal disease, Age <5 years, Probable **	3	4	6	1	1	3	4	2	1	2	4	7	—	38
Legionellosis 	313	280	392	256	387	1,233	1,046	1,311	1,664	1,384	738	929	—	9,933
Leptospirosis 	6	4	6	2	4	10	7	7	24	6	4	11	—	91
Listeriosis 	31	39	57	48	44	86	88	119	108	76	72	96	—	864
Lyme disease, Total 	996	1,112	1,306	1,282	2,018	6,171	6,782	4,549	3,330	2,270	1,792	2,058	—	33,666
Lyme disease, Confirmed 	647	706	802	808	1,275	4,424	5,023	3,296	2,329	1,574	1,273	1,401	—	23,558
Lyme disease, Probable 	349	406	504	474	743	1,747	1,759	1,253	1,001	696	519	657	—	10,108
Malaria 	99	89	78	117	135	223	152	197	240	145	98	175	—	1,748
Measles, Total 	10	5	28	29	13	13	13	12	9	43	72	128	—	375
Measles, Indigenous 	5	2	21	19	6	4	7	8	5	28	70	121	—	296
Measles, Imported 	5	3	7	10	7	9	6	4	4	15	2	7	—	79
Meningococcal disease, All serogroups 	37	38	38	21	26	21	21	14	21	20	23	47	—	327
Meningococcal disease, Serogroups ACWY 	11	10	11	10	7	8	7	3	5	9	10	9	—	100
Meningococcal disease, Serogroup B 	9	12	9	5	7	5	8	5	6	6	6	3	—	81
Meningococcal disease, Other serogroups 	3	4	5	—	1	—	—	—	4	1	3	2	—	23
Meningococcal disease, Unknown serogroup 	14	12	13	6	11	8	6	6	6	4	4	33	—	123
Mumps 	266	298	352	245	286	137	100	127	128	135	124	317	—	2,515
Novel Influenza A virus infections 	—	—	—	—	—	1	—	13	—	—	—	—	—	14
Paratyphoid fever ††	13	10	12	12	9	12	13	11	17	7	8	9	—	133
Pertussis 	1,013	988	1,219	1,100	1,294	1,509	1,233	1,114	1,322	1,085	1,280	2,452	—	15,609
Plague 	—	—	—	—	—	1	—	—	—	—	—	—	—	1
Poliomyelitis, paralytic 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Poliovirus infection, nonparalytic 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Psittacosis 	—	—	3	1	—	2	—	1	9	3	1	2	—	22
Q fever, Total 	10	9	32	26	26	20	16	20	18	7	11	20	—	215
Q fever, Acute 	8	6	30	22	20	17	13	18	16	7	9	12	—	178
Q fever, Chronic 	2	3	2	4	6	3	3	2	2	—	2	8	—	37
Rabies, Animal 	213	225	405	445	483	418	543	728	566	466	277	215	—	4,984
Rabies, Human 	1	—	—	—	—	—	—	—	1	1	—	—	—	3
Rubella 	—	—	1	—	1	—	—	—	—	2	—	—	—	4
Rubella, congenital syndrome 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Salmonellosis (excluding paratyphoid fever and typhoid fever) §§	2,112	2,489	3,227	3,014	3,783	6,710	6,813	7,345	9,233	6,091	4,264	5,918	—	60,999
Severe acute respiratory syndrome-associated coronavirus disease 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Shiga toxin-producing Escherichia coli (STEC) 	553	574	975	1,172	1,184	2,164	1,887	1,867	1,744	1,219	917	1,740	—	15,996
Shigellosis 	855	796	1,279	1,013	1,123	1,588	1,503	1,643	1,719	1,365	1,403	2,046	—	16,333
Smallpox 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Spotted fever rickettsiosis, Total 	53	57	175	239	516	1,338	929	742	766	346	175	208	—	5,544
Spotted fever rickettsiosis, Confirmed 	1	2	6	9	12	33	19	13	16	3	2	8	—	124
Spotted fever rickettsiosis, Probable 	52	55	169	230	504	1,305	910	729	750	343	173	200	—	5,420
Streptococcal toxic shock syndrome 	50	45	55	31	26	34	29	18	14	12	24	33	—	371
Syphilis, Total, all stages ¶¶	8,162	8,731	11,132	9,134	8,884	10,756	8,664	9,113	11,591	9,302	8,532	11,044	—	115,045
Syphilis, Congenital 	107	84	106	95	89	105	115	112	136	128	116	113	—	1,306
Syphilis, Primary and secondary 	2,413	2,581	3,354	2,750	2,685	3,326	2,767	2,736	3,700	2,850	2,634	3,267	—	35,063
Tetanus 	—	—	—	3	4	2	1	5	1	2	3	2	—	23
Toxic shock syndrome (other than Streptococcal) 	—	6	2	2	3	4	2	2	2	3	4	3	—	33
Trichinellosis 	—	—	—	—	1	—	—	—	—	—	—	—	—	1
Tuberculosis 	506	587	770	766	770	817	717	853	636	789	737	1,077	—	9,025
Tularemia 	—	2	3	7	22	42	54	32	15	25	5	22	—	229
Typhoid fever 	28	23	34	36	35	24	28	43	61	23	8	58	—	401
Vancomycin-intermediate Staphylococcus aureus 	5	8	13	3	8	10	7	2	6	5	7	11	—	85
Vancomycin-resistant Staphylococcus aureus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Varicella morbidity 	512	577	791	685	761	769	493	506	824	639	646	998	—	8,201
Varicella mortality 	—	1	2	—	1	1	1	—	—	—	—	—	—	6
Vibriosis, Total 	63	84	128	131	118	324	400	507	389	234	166	420	—	2,964
Vibriosis, Confirmed 	29	38	63	56	68	229	275	355	240	137	84	248	—	1,822
Vibriosis, Probable 	34	46	65	75	50	95	125	152	149	97	82	172	—	1,142
Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Ebola virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Guanarito virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Junin virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Lassa virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Lujo virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Machupo virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Marburg virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Viral hemorrhagic fevers, Sabia virus 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Yellow fever 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Zika virus, Zika virus disease, congenital ***	—	—	—	—	1	—	—	1	—	—	—	—	—	2
Zika virus, Zika virus disease, non-congenital 	12	7	7	6	2	3	11	10	4	8	4	5	—	79
Zika virus, Zika virus infection, congenital ***	2	2	1	—	1	—	—	—	—	1	—	1	—	8
Zika virus, Zika virus infection, non-congenital 	18	28	21	31	19	14	14	14	23	19	11	33	—	245
