,Disease,Rate_sum
45,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",618.0
19,"Botulism, Total",603.0
73,"Measles, Total",580.0
88,"Q fever, Total",572.0
46,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",565.0
45,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",539.0
1,"Arboviral diseases, Chikungunya virus disease",520.0
72,"Measles, Indigenous",463.0
89,"Q fever, Acute",463.0
21,"Botulism, Infant",438.0
22,Brucellosis,405.0
78,"Meningococcal disease, Unknown serogroup",396.0
57,Influenza-associated pediatric mortality,367.0
75,"Meningococcal disease, Serogroups ACWY",333.0
113,Vancomycin-intermediate Staphylococcus aureus,302.0
48,Hansen's disease,262.0
78,"Meningococcal disease, Serogroup B",257.0
67,Leptospirosis,241.0
57,"Hepatitis, C, perinatal infection",214.0
6,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",177.0
83,Paratyphoid fever,133.0
73,"Measles, Imported",117.0
91,"Q fever, Chronic",109.0
108,Toxic shock syndrome (other than Streptococcal),103.0
82,Novel Influenza A virus infections,103.0
44,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",101.0
39,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",100.0
22,"Botulism, Other (wound & unspecified)",98.0
4,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",90.0
107,Tetanus,90.0
34,"Dengue virus infections, Dengue-like illness",89.0
54,"Hepatitis, B, perinatal infection",86.0
50,Hantavirus pulmonary syndrome,82.0
8,"Arboviral diseases, Powassan virus disease, Neuroinvasive",75.0
77,"Meningococcal disease, Other serogroups",69.0
20,"Botulism, Foodborne",67.0
130,"Zika virus, Zika virus infection, congenital",62.0
128,"Zika virus, Zika virus disease, congenital",54.0
108,Trichinellosis,42.0
5,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",41.0
26,Cholera,39.0
88,Psittacosis,39.0
35,"Dengue virus infections, Severe dengue",28.0
2,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",18.0
10,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",18.0
24,Chancroid,17.0
92,Rubella,12.0
49,"Hantavirus infection, non-hantavirus pulmonary syndrome",10.0
82,Plague,10.0
11,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",9.0
93,"Rubella, congenital syndrome",7.0
7,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",7.0
91,"Rabies, Human",5.0
114,Vancomycin-resistant Staphylococcus aureus,3.0
9,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2.0
128,Yellow fever,1.0
36,Diphtheria,1.0
0,Anthrax,1.0
126,"Viral hemorrhagic fevers, Sabia virus",0.0
125,"Viral hemorrhagic fevers, Marburg virus",0.0
124,"Viral hemorrhagic fevers, Machupo virus",0.0
123,"Viral hemorrhagic fevers, Lujo virus",0.0
122,"Viral hemorrhagic fevers, Lassa virus",0.0
121,"Viral hemorrhagic fevers, Junin virus",0.0
120,"Viral hemorrhagic fevers, Guanarito virus",0.0
119,"Viral hemorrhagic fevers, Ebola virus",0.0
83,"Poliomyelitis, paralytic",0.0
119,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",0.0
86,"Poliovirus infection, nonparalytic",0.0
3,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",0.0
14,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",0.0
98,Smallpox,0.0
93,Severe acute respiratory syndrome-associated coronavirus disease,0.0
15,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",0.0
